Video_Name,True_Label,Predicted_Label,Correct
video1.mp4,Real,Real,True
video2.mp4,Fake,Fake,True
video3.mp4,Real,Real,True
video4.mp4,Fake,Fake,True
video5.mp4,Fake,Fake,True
video6.mp4,Real,Real,True
video7.mp4,Real,Real,True
video8.mp4,Fake,Real,False
video9.mp4,Real,Real,True
video10.mp4,Fake,Fake,True
video11.mp4,Fake,Fake,True
video12.mp4,Real,Real,True
video13.mp4,Fake,Fake,True
video14.mp4,Real,Fake,False
video15.mp4,Fake,Fake,True
video16.mp4,Real,Real,True
video17.mp4,Real,Real,True
video18.mp4,Fake,Fake,True
video19.mp4,Fake,Fake,True
video20.mp4,Real,Real,True
video21.mp4,Fake,Fake,True
video22.mp4,Real,Real,True
video23.mp4,Fake,Fake,True
video24.mp4,Real,Real,True
video25.mp4,Fake,Real,False
video26.mp4,Real,Real,True
video27.mp4,Fake,Fake,True
video28.mp4,Fake,Fake,True
video29.mp4,Real,Real,True
video30.mp4,Real,Real,True
